,precision,recall,f1-score,support
seizure,0.9320574162679426,0.9320574162679426,0.9320574162679426,2090.0
lpd,0.9276773296244785,0.9276773296244785,0.9276773296244785,1438.0
gpd,0.9567939887288667,0.9701587301587301,0.9634300126103404,1575.0
lrda,0.9459459459459459,0.9788688626476072,0.9621258399511301,1609.0
grda,0.955110870740941,0.9618736383442266,0.9584803256445047,1836.0
other,0.9057498518079431,0.859392575928009,0.881962481962482,1778.0
accuracy,0.9373426302537284,0.9373426302537284,0.9373426302537284,0.9373426302537284
macro avg,0.9372225671860197,0.9383380921618324,0.9376222343434798,10326.0
weighted avg,0.9369537434117649,0.9373426302537284,0.936990307684995,10326.0
